Date,Average pressure,Sea level pressure,Rainfall,Max rainfall (1 hour),Max rainfall (10 mins),Ave temp,Max temp,Min temp,Ave humidity,Min humidity,Ave wind speed,Hours of sunlight,Snowfall,Max snow cover,Gust x,Gust y,Max x,Max y
1981/1/1,1014.7,1019.2,,,,5,8.9,1.3,51,31,2.5,8.7,,,6.744320587,-2.793589056,4.527009709,-1.875148819
1981/1/2,999.5,1003.8,2,2,1,4.6,7.5,1.9,81,42,2.6,3.5,,,-7.424621202,-7.424621202,-4.384062043,-4.384062043
1981/1/3,998.1,1002.5,,,,5.1,9,2.2,40,19,4.8,8.9,,,-9.545941546,-9.545941546,-4.808326112,-4.808326112
1981/1/4,1004.8,1009.3,,,,4.4,9.6,-0.6,47,32,3.8,8.6,,,15.6135641,-6.467350007,10.16267486,-4.209517756
1981/1/5,1006.5,1010.9,,,,4.1,8.4,0,46,28,3.1,7.9,,,10.71700258,-4.439127815,6.929096494,-2.870125743
1981/1/6,1005.9,1010.4,,,,3.5,7.2,-0.7,44,24,2.3,7.9,,,7.39103626,-3.061467459,4.342233803,-1.798612132
1981/1/7,1007.4,1011.9,,,,3.7,8.2,-0.1,44,22,3.5,8.8,,,12.28759778,-5.08968965,7.298648307,-3.023199116
1981/1/8,1011.2,1015.6,,,,5.3,9.9,0.9,35,21,3.2,9,,,8.414570696,-8.414570696,4.171930009,-4.171930009
1981/1/9,1006.7,1011.1,,,,6.2,11,0.3,52,25,2,8.7,,,2.449173967,-5.912829008,2.687005769,-2.687005769
1981/1/10,995.8,1000.2,,,,6.8,12,1.8,50,26,2.2,6.6,,,9.977898951,-4.13298107,6.929096494,-2.870125743
1981/1/11,998.5,1002.8,,,,3.6,7.2,0.1,45,25,4.1,8.5,,,16.9993834,-7.041375156,9.885510998,-4.094712726
1981/1/12,1002.2,1006.7,,,,2.6,8.1,-1.2,54,33,2.1,8.1,,,11.4,0,7,0
1981/1/13,1004.8,1009.3,,,,2.4,6.3,-0.8,50,30,2.8,8.8,,,9.4,0,6.467156728,-2.678784027
1981/1/14,1008.5,1012.9,,,,3.6,7.9,-2.2,39,20,1.9,8.9,,,-4.808326112,4.808326112,4,0
1981/1/15,1010.8,1015.2,0,0,0,4.7,7.9,-0.1,35,24,2.9,8.5,,,9.423571232,-3.90337101,5.728053102,-2.372637281
1981/1/16,1008.4,1012.9,1.5,1,0.5,4,7.6,0.9,72,31,3.5,5.7,0,,8.8,0,5.912829008,-2.449173967
1981/1/17,1013.9,1018.4,,,,4.3,8.2,0.6,32,21,4.5,9.2,,,12.47237369,-5.166226337,6.559544681,-2.71705237
1981/1/18,1014.8,1019.3,,,,3.6,7.6,-0.3,53,32,2.6,5.9,,,6.929096494,-2.870125743,4.711785616,-1.951685505
1981/1/19,1010.1,1014.5,,,,5,9.9,-0.7,45,28,2.6,7,,,11.2713303,-4.668737875,6.929096494,-2.870125743
1981/1/20,1009.7,1014.1,,,,4.8,8.3,2.5,40,27,3.4,4.8,,,10.90177848,-4.515664502,6.559544681,-2.71705237
1981/1/21,1008.2,1012.6,,,,3.6,7.7,0.2,47,27,3.3,7.3,,,12.56476164,-5.20449468,6.929096494,-2.870125743
1981/1/22,1012.8,1017.3,,,,3.1,6.8,-0.4,36,26,5.9,9.4,,,14.50490866,-6.008129888,8.407303746,-3.482419235
1981/1/23,1019.7,1024.2,,,,5.5,10.3,1.8,30,19,3.4,9.1,,,5.013152964,-12.10282188,5.728053102,-2.372637281
1981/1/24,1013.5,1018,0,0,0,5.5,10.3,0.6,45,35,2.4,6,,,6.929096494,-2.870125743,4.065069943,-1.683807102
1981/1/25,1010.4,1014.8,,,,6.4,9.6,4,39,29,5.3,5,,,17.1841593,-7.117911842,10.43983872,-4.324322786
1981/1/26,1013.8,1018.2,,,,3.9,7.6,1,38,24,5.6,,,,17.92326293,-7.424058588,11.08655439,-4.592201188
1981/1/27,1014.8,1019.3,,,,3.5,7.8,-0.3,34,21,5.5,9.6,,,15.89072796,-6.582155037,9.238795325,-3.826834324
1981/1/28,1015.1,1019.6,,,,3.9,8.3,1,37,24,6,9.2,,,15.24401229,-6.314276634,8.776855559,-3.635492607
1981/1/29,1011.6,1016.1,,,,4.6,8.2,0.2,41,26,2.9,6.7,,,8.130139886,-3.367614205,4.711785616,-1.951685505
1981/1/30,1014.5,1018.9,,,,4.7,8.6,2.1,38,21,5.9,9.5,,,14.32013275,-5.931593202,8.407303746,-3.482419235
1981/1/31,1017.3,1021.8,,,,5.5,9.1,1.6,38,23,2.9,7.6,,,10.34745076,-4.286054442,5.543277195,-2.296100594
